headline,nickname,abstract,website,time,word,view,like
孤独星球—谁的青春不曾迷茫,阳阳君,今天这幅画大概也属于第二次绘画，自我感觉比昨天的第一副绘画的感觉要好看一点，第二次回话也比第一次花费的时间要长一点，上色的过程忽然就想到了迷茫这...,https://www.jianshu.com/p/58b3feef22b7,2018.11.16 23:10,1359,125,9
宛如拙略匠人的作品，麦当劳新品干脆可可麦旋风测评,灏鲲,冬天出新冰激凌是快餐店的特色，不得不品尝——某鲲（滑稽） 反正各大快餐店不知道为什么即使在冬天也会出上不少新口味的冰激凌，也许是深谙冬天吃冰激凌...,https://www.jianshu.com/p/2c29add5b58d,2018.11.16 22:13,860,26,1
有什么适合射手座的礼物？,桑塔露露的礼物盒,热情乐观、正直坦率，有时过于心直口快。精力充沛、执行力强、喜欢探索未知的领域。 表面乖巧，内心躁动，混熟了特别好相处。一方面喜欢挑战，向往自由自...,https://www.jianshu.com/p/545226cce844,2018.11.16 22:09,1440,49,2
叨叨棒针3：文艺围裹式小开衫,范特茜,大家好！我是范特茜（xi）~ 今天详解一款简单到只用上下针编织的围裹式小开衫，文艺、慵懒、随性的款式，却非常好织。如果你还没有给自己织过一件美衣...,https://www.jianshu.com/p/e7cd15be3b2c,2018.11.16 20:25,1252,61,1
史上最简单的覆盆子酒酿制方法，七步解决！,普地子覆盆子酒,众所皆知，我国是水果资源大国。但你们了解“水果之王”覆盆子吗？ 它曾是伊丽莎白女王最钟爱的早餐果品，还被美国最具有影响力的健康杂志《PREVEN...,https://www.jianshu.com/p/8279d12df13f,2018.11.16 13:09,806,62,1
对面的女孩看过来 这里的卫衣很精彩！,可可西里里,去年可可写了一篇有关卫衣的搭配文叫：没错，我就是卫衣控！ 对于像卫衣这么人见人爱，经久不衰、横跨春秋冬三季的实用时尚单品，今年的搭配文章可可肯定...,https://www.jianshu.com/p/c487ed2267f2,2018.11.16 10:38,1125,149,7
眼疾,苏州的蔷薇花开,两个多月前，先生的眼皮上长了个小红点点，红点点越长越大，不去医院诊治也知道，就是“麦粒肿”，俗称“偷针眼”。去医院诊治后配了一些眼药...,https://www.jianshu.com/p/d8b87b0b8fbb,2018.11.16 12:28,1209,899,8
度过转折期的正确姿势,五四青年SZ,每个人在生活中都会遇到转折期：跳槽、自己单干、考研还是工作、离婚/分手…… 回想一下，在这些转折抉择期，你一般是如何度过的呢？ 这里来说说我的看...,https://www.jianshu.com/p/c2cd76486433,2018.11.16 10:59,1415,80,5
爱抱毛绒玩具、吸奶嘴的娃就一定缺乏安全感吗？别再被忽悠了,幼儿说,有些育儿焦虑，是因为看了太多“不靠谱”的东西? 一个小女孩是毛绒玩具迷，她迷的是一只毛绒玩具熊。玩耍的时候，她要一手抱着玩具熊，另一只手玩其他的...,https://www.jianshu.com/p/17c80c7a498f,2018.11.16 10:36,2072,105,2
补水和保湿，是一回事吗？,莫嫡Morettie,【引子】 莫叔，补水和保湿是一回事吗？还是两码事？需要同时进行或分开护理吗？ 很显然， 补水和保湿是完全不同的2回事。 我们来对生活中的一些现象...,https://www.jianshu.com/p/ac1d2a92ce57,2018.11.16 09:45,434,197,13
肤黑男生的秋季穿搭指南,Estata,最近受托于老铁求助，于是没有受邀也来凑个热闹撰写一篇关于我于穿搭的想法，老铁皮肤有点黑，所以这一篇主要针对初期学穿搭时尚感弱的肤黑男生的秋季休闲...,https://www.jianshu.com/p/e8091a96cf3e,2018.11.15 17:57,1255,53,2
2018鸿篇巨制 I 还有时间准备，妹子最想要的圣诞礼物：开心一整月，收一辈子也不烦的全球圣诞日历终极盘点！,美好小姐的礼物清单,今天不讲故事，不绕弯子了，直接给正确答案，有一种圣诞礼物你可以从12月1号送到圣诞节当天，你还可以不再为圣诞礼物送什么发愁，每年只送这一种礼物，...,https://www.jianshu.com/p/6551b6315be4,2018.11.15 17:12,1631,12751,236
关于保湿这件老生常谈的事，你的有些观念真的错了,亚睿生物护肤,最近的天气干冷的啊，连身处在南方的油皮小编都感觉皮肤越来越干燥、粗糙，最可怕的是连嘴唇都要起皮啦。看来是时候把“保湿”再搬出来细细和宝宝们叨一叨...,https://www.jianshu.com/p/c001a2c2178d,2018.11.15 15:35,1122,40,0
护肤小课堂：原来洗脸也有这么多暗藏的门道,亚睿生物护肤,我们的客服MM经常能会被问： 你们的洗面奶感觉洗不干净哎，洗完脸上感觉都还是有点油。需要用打泡器打泡沫吗……看来大家都很注重基础清洁哦， 棒棒哒...,https://www.jianshu.com/p/0a5ac731641e,2018.11.15 15:33,855,32,0
飞行100个城市后 我总结出绝对走心实用的旅行收纳指南,摄影师耿悦,Hi，我是悦，今天分享一版实在的旅行箱打包指南。 __我如何打理行李箱，收纳顺序，和旅途中喜欢带的物件。 愿你打开这篇文章时，会启程前往下一个美妙...,https://www.jianshu.com/p/905cf9cbdf16,2018.11.15 15:26,2676,109,5
各年龄段皮肤特点——不同时期的皮肤护理,恋尔美医学护肤,从出生到老年，皮肤有着巨大的变化，由于皮肤的厚薄，角质层的功能，皮脂腺及汗腺的分泌情况都随着年龄的变化而不同，皮肤表现出不同的生理特性。因此，对...,https://www.jianshu.com/p/908d12fbb4c3,2018.11.15 15:19,1395,57,1
BUJO丨一个神奇高效的手帐系统,迟鲤,在各种日程手帐中，有个特殊的系统——BUJO它功能强大又非常简洁，可以快速且高效的来安排你的日程计划。无论任何项目记录，统统可以收入其中，只要你...,https://www.jianshu.com/p/f16365af7b92,2018.11.15 22:37,1264,74,1
新时代百搭女孩：穿百搭单品，饭百搭爱豆，磕百搭CP,网易王三三,离双十一结束还有半小时的时候，君怡还在为买哪双鞋纠结。 她的购物车里有两双鞋，一双是镶满铆钉炫酷无比充满硬妹气息的机车马丁靴，一双是款式经典大气...,https://www.jianshu.com/p/268f78f3f98e,2018.11.15 22:20,1588,121,1
看了小米这款婴儿车测评，网友表示：想要孩子,智科技,米兔是小米生态链中特别的企业，他们的产品并不强调智能，但却给孩子和妈妈带来快乐，之前发布的积木、儿童拉杆箱都让人们惊喜，这次又推出舒适安全、登机...,https://www.jianshu.com/p/cb2aa57522d8,2018.11.16 08:33,1443,234,2
好久不见诈尸更新之美容院揭秘1,fly九小仙儿,为什么美容院的名声这么差？ 因为美容院的门槛低！！ 多少年来美容院都顶着一个暴利的名声，所以但凡手里有点钱又不会啥技术的人创业就选择美容院这个“...,https://www.jianshu.com/p/21a45b867c0b,2018.11.11 10:23,2523,48,1
长相酷似周杰伦的肌肉男，教你6个动作，让你在家就能练出腹肌！,波普董健身,腹肌是一块非常大的肌肉群，不仅能给身材加分，让人眼前一亮，更是对整体运动能力有着至关重要的意义。 因此，非常多的人都想获得迷人的腹肌，男人想要腹...,https://www.jianshu.com/p/3bd5f3144c56,2018.11.16 08:49,1222,109,4
纯手工鸡汤香菇擀面，温胃暖心,惠顾星辰,说起手擀面，相信大家都不陌生，纯粹手工制作，操作简单，健康卫生，入口劲道滑爽、养心养胃。 一直相信：世界上最美味的就是妈妈做的手擀面，那时候没有...,https://www.jianshu.com/p/9c6c0c2ab676,2018.11.16 08:02,988,176,9
别闹了！鱼缸养水期间，你还敢做这三件事？观赏鱼可不答应！,哗仔说鱼,横看成岭侧成峰，养鱼养水各不同。养水做错三件事，养鱼梦想一场空。 对不起，我是哗仔！ 欢迎鱼友们再一次回到这个有点不一样的哗仔说鱼专栏。 最近有...,https://www.jianshu.com/p/fdfe65106227,2018.11.16 07:21,1304,116,0
孤独星球—两个人也一样孤独,阳阳君,经常会听到有人说最近好孤独，身边的人就会劝他说，你出去走一走，跟你的朋友聊一聊，玩一玩，你就不会感觉到有孤独感。 有的时候不是人多和人少能决定孤...,https://www.jianshu.com/p/f6afe27ecffd,2018.11.15 23:00,612,207,10
冬季时尚必备单品，每个都很实用哦,服装搭配美学,根据今年冬季的流行趋势，我想推荐五件必备时尚单品、两件想要时尚的同时又起到保暖的必备秘密单品。 推荐的这五件单品是不受身高、体重、体型和年龄的限...,https://www.jianshu.com/p/70cb99591db1,2018.11.15 21:26,1047,88,1
